City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anadyr,64.75,177.4833,283.43,87,100,3.0,RU,1691731220
83,tromso,69.6496,18.957,288.92,82,0,4.12,NO,1691731220
84,kalmunai,7.4167,81.8167,304.89,55,97,4.36,LK,1691731220
85,westport,41.1415,-73.3579,294.17,88,0,1.54,US,1691731157
86,beaufort west,-32.3567,22.583,286.59,34,0,3.92,ZA,1691731221
87,port mathurin,-19.6833,63.4167,296.36,79,23,9.36,MU,1691731221
88,la ronge,55.1001,-105.2842,286.29,94,75,6.69,CA,1691731221
89,mosjoen,65.836,13.1908,286.44,88,75,0.0,NO,1691731221
90,bonthe,7.5264,-12.505,298.04,82,99,4.63,SL,1691731221
91,west island,-12.1568,96.8225,299.14,89,75,6.69,CC,1691731221
92,stanley,54.868,-1.6985,290.77,92,47,2.96,GB,1691731221
93,geraldton,-28.7667,114.6,292.38,72,97,3.6,AU,1691731221
94,trairi,-3.2778,-39.2689,297.07,91,35,3.79,BR,1691731221
95,el granada,37.5027,-122.4694,292.55,88,100,4.63,US,1691731221
96,suva,-18.1416,178.4415,293.86,83,75,3.6,FJ,1691731071
97,sao tome,0.3365,6.7273,297.78,83,98,2.92,ST,1691731222
98,lompoc,34.6391,-120.4579,292.6,88,100,1.34,US,1691731165
99,bontang,0.1333,117.5,302.36,68,100,3.93,ID,1691731222
100,coyhaique,-45.5752,-72.0662,275.12,75,75,1.03,CL,1691731222
101,breves,-1.6822,-50.4803,296.28,93,33,1.95,BR,1691731222
102,howrah,22.5892,88.3103,303.15,79,75,2.06,IN,1691731222
103,al burayqah,30.4062,19.5739,298.44,67,0,5.05,LY,1691731222
104,montmagny,48.9734,2.3469,293.14,82,0,2.57,FR,1691731222
105,vila franca do campo,37.7167,-25.4333,295.38,92,74,2.82,PT,1691731222
106,tamanrasset,22.785,5.5228,295.1,15,0,2.06,DZ,1691731222
107,saipan,15.1355,145.701,300.54,100,75,5.14,MP,1691731169
108,konongo,6.6167,-1.2167,293.3,99,98,0.65,GH,1691731222
109,papatowai,-46.5619,169.4708,280.12,86,99,2.32,NZ,1691731222
110,tommot,58.9564,126.2925,290.96,91,100,2.13,RU,1691731223
111,wanning,18.8003,110.3967,305.52,60,100,6.69,CN,1691731223
112,ushuaia,-54.8,-68.3,273.96,80,20,1.54,AR,1691731024
113,haiku-pauwela,20.9219,-156.3051,298.17,72,40,6.69,US,1691731223
114,nova vicosa,-17.8919,-39.3719,294.81,82,24,1.44,BR,1691731223
115,sao luiz gonzaga,-28.4083,-54.9608,290.86,97,100,0.3,BR,1691731223
116,iskateley,67.6803,53.1512,290.62,57,4,1.29,RU,1691731223
117,naze,28.3667,129.4833,301.66,82,100,0.19,JP,1691731223
118,ola,59.5833,151.2833,294.9,71,0,4.0,RU,1691731223
119,ferkessedougou,9.6,-5.2,294.71,98,100,2.21,CI,1691731223
120,hagere maryam,5.6333,38.2333,288.13,85,97,2.97,ET,1691731223
121,laguna,38.421,-121.4238,297.77,65,0,4.63,US,1691731223
122,avarua,-21.2078,-159.775,297.18,88,75,7.2,CK,1691731008
123,wailua homesteads,22.0669,-159.378,300.39,78,75,7.2,US,1691731223
124,whitehorse,60.7161,-135.0538,287.58,85,75,2.06,CA,1691731223
125,glogowek,50.3536,17.8641,286.32,64,61,1.59,PL,1691731223
126,rongelap,11.1635,166.8941,301.55,69,100,7.03,MH,1691731224
127,alesund,62.4723,6.1549,284.76,85,75,2.06,NO,1691731224
128,ciudad acuna,29.3232,-100.9522,309.31,32,0,7.2,MX,1691731224
129,kapa'a,22.0752,-159.319,301.14,78,75,7.2,US,1691731224
130,lijiang,26.8688,100.2207,298.8,57,100,1.08,CN,1691731224
131,edinburgh of the seven seas,-37.0676,-12.3116,284.75,73,97,11.0,SH,1691731224
132,christchurch,-43.5333,172.6333,280.88,69,86,5.14,NZ,1691731224
133,zhangatas,43.5667,69.75,299.63,37,0,3.85,KZ,1691731224
134,utrik,11.2278,169.8474,301.64,77,38,6.44,MH,1691731224
135,al muwayh,22.4333,41.7583,305.37,16,70,2.49,SA,1691731224
136,labrador city,52.9463,-66.9114,286.1,88,100,2.57,CA,1691731224
137,marka,1.7159,44.7717,298.6,76,62,8.58,SO,1691731224
138,goure,13.9835,10.2704,296.89,77,57,3.1,NE,1691731224
139,touros,-5.1989,-35.4608,295.98,88,22,5.8,BR,1691731224
140,tenno,39.9,139.9667,308.71,66,0,6.15,JP,1691731224
141,codrington,-38.2667,141.9667,287.77,68,100,4.51,AU,1691731225
142,tiksi,71.6872,128.8694,294.42,34,12,6.56,RU,1691731225
143,talnakh,69.4865,88.3972,279.38,83,100,7.56,RU,1691731225
144,asau,46.4333,26.4,289.66,64,66,1.53,RO,1691731225
145,puerto ayora,-0.7393,-90.3518,297.34,92,35,3.13,EC,1691731225
146,phan thiet,10.9333,108.1,305.56,60,2,6.26,VN,1691731225
147,targuist,34.9377,-4.3186,298.4,30,4,0.79,MA,1691731225
148,nouadhibou,20.931,-17.0347,295.14,88,40,9.26,MR,1691731225
149,grand-bassam,5.2118,-3.7388,297.13,87,92,1.97,CI,1691731225
150,cole harbour,44.6724,-63.4751,291.86,90,90,1.03,CA,1691731225
151,hotan,37.0997,79.9269,307.21,15,83,2.02,CN,1691731225
152,lagos,6.5833,3.75,297.33,91,98,1.78,NG,1691731225
153,ilhabela,-23.7781,-45.3581,293.78,87,8,2.42,BR,1691731225
154,bratsk,56.1325,101.6142,295.42,58,10,2.74,RU,1691731038
155,kluang,2.0251,103.3328,304.16,56,54,2.17,MY,1691731225
156,sao gabriel da cachoeira,-0.1303,-67.0892,295.5,99,100,0.55,BR,1691731026
157,sergeyevka,53.88,67.4158,289.06,59,99,6.12,KZ,1691731225
158,tazacorte,28.629,-17.9293,298.69,57,0,6.17,ES,1691731225
159,paris,48.8534,2.3488,293.21,87,0,1.54,FR,1691730979
160,yerofey pavlovich,53.9667,121.9667,293.0,75,100,1.28,RU,1691731226
161,hadibu,12.65,54.0333,299.79,76,83,9.72,YE,1691731226
162,antsiranana,-12.2787,49.2917,297.47,67,3,5.81,MG,1691731226
163,ginir,7.1333,40.7,290.19,70,66,4.44,ET,1691731226
164,tchintabaraden,15.8969,5.7985,301.69,61,100,4.24,NE,1691731226
165,bryne,58.7354,5.6477,285.69,98,20,1.54,NO,1691731226
166,qarauyl,48.9451,79.255,295.07,57,72,3.2,KZ,1691731226
167,mana,5.6592,-53.7767,298.16,90,15,3.14,GF,1691731226
168,cockburn town,21.4612,-71.1419,302.04,84,100,9.0,TC,1691731226
169,saint-pierre,-21.3393,55.4781,296.97,53,0,2.06,RE,1691731226
170,la passe,45.5549,-0.8967,291.28,92,76,1.66,FR,1691731226
171,hinton,53.4001,-117.5857,285.52,59,45,2.43,CA,1691731226
172,sterling,39.0062,-77.4286,295.59,82,0,0.45,US,1691731226
173,camana,-16.6228,-72.7111,290.38,89,87,3.28,PE,1691731226
174,ixtapa,20.7,-105.2,301.05,94,100,2.57,MX,1691731226
175,fortuna,40.5982,-124.1573,289.22,93,0,0.0,US,1691731226
176,ha'il,27.5219,41.6907,302.16,17,0,1.03,SA,1691731227
177,follonica,42.9263,10.7616,297.54,70,81,1.32,IT,1691731227
178,flying fish cove,-10.4217,105.6791,298.97,78,75,5.66,CX,1691730945
179,puerto aysen,-45.4,-72.7,273.99,98,93,1.88,CL,1691731227
180,kingston,17.997,-76.7936,299.4,96,37,1.08,JM,1691731092
181,berdyansk,46.7503,36.7944,297.03,78,76,4.81,UA,1691731227
182,hamilton,39.1834,-84.5333,294.8,90,0,1.54,US,1691730930
183,buka,40.8108,69.1986,306.24,16,0,1.92,UZ,1691731227
184,candido mendes,-1.4467,-45.7167,296.07,95,18,1.04,BR,1691731227
185,georgetown,5.4112,100.3354,305.11,66,40,5.14,MY,1691731227
186,mocimboa,-11.3167,40.35,294.55,73,0,4.66,MZ,1691731227
187,kone,-21.0595,164.8658,295.05,46,0,4.34,NC,1691731227
188,frontera,26.9333,-101.45,303.98,33,6,1.26,MX,1691731227
189,mount isa,-20.7333,139.5,301.02,21,4,2.06,AU,1691731227
190,valle del guamuez,0.4525,-76.9192,293.26,97,48,1.24,CO,1691731227
191,mirny,62.5353,113.9611,296.06,60,100,1.79,RU,1691731228
192,galliano,29.4422,-90.2992,301.15,83,0,0.0,US,1691731228
193,golere,16.2557,-14.1017,300.57,66,91,7.04,SN,1691731228
194,kattivakkam,13.2167,80.3167,305.2,72,100,0.99,IN,1691731228
195,dibba al-hisn,25.6196,56.2729,313.25,50,38,2.02,AE,1691731228
196,moundou,8.5667,16.0833,294.3,98,100,1.36,TD,1691731228
197,huilong,31.8111,121.655,304.63,57,9,1.45,CN,1691731228
198,saldanha,-33.0117,17.9442,288.18,53,6,6.44,ZA,1691731228
199,suoyarvi,62.0833,32.35,290.29,63,78,1.62,RU,1691731228
200,chibougamau,49.9168,-74.3659,287.94,94,100,2.06,CA,1691731228
201,plettenberg bay,-34.0527,23.3716,294.56,34,0,5.18,ZA,1691731228
202,tottori,35.5,134.2333,306.19,58,20,4.63,JP,1691731228
203,al kharj,24.155,47.3346,308.47,24,28,2.49,SA,1691731228
204,ashland,40.8167,-82.2665,292.68,100,68,3.47,US,1691730950
205,belmonte,-15.8631,-38.8828,294.82,84,76,1.76,BR,1691731228
